species,age,site,year,body_mass_g,reference
snow goose,adult,bylot,2012,1489,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1594,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1213,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1454,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1497,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1632,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1924,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1347,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1348,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1255,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1749,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1789,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1475,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1890,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1625,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1663,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1518,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1580,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1810,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1308,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1523,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1551,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1338,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1677,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1402,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1375,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1404,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1314,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1403,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1453,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1522,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1836,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1643,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1625,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1336,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1405,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1442,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1732,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1542,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1441,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1468,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1220,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1382,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1524,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1711,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1737,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1539,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1449,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1577,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1788,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1716,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1790,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1505,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1996,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1714,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1663,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1790,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1608,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1646,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1596,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1498,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1509,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1987,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1842,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1322,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1851,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1432,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1522,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1472,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1430,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1578,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1552,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1100,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1501,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1544,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1525,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1722,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1800,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1599,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1220,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1460,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1587,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1785,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1464,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1128,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1339,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1345,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1494,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1838,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1834,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1727,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1706,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1538,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1617,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1435,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1338,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1506,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1440,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1439,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1176,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1342,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1656,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1953,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1545,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1590,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1899,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1675,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1505,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1636,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1696,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1611,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1507,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1680,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1375,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1816,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1648,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1870,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1801,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1629,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1399,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1626,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1462,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1772,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1639,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1648,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1639,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1612,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1911,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1616,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1555,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,2059,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1709,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1510,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1562,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1875,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1544,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1666,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1643,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1562,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1991,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1521,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1777,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1772,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1691,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1781,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1616,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1589,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1630,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1420,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1646,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1649,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1492,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1857,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1669,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1511,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1829,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1620,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1618,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1547,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1696,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1641,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1500,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1693,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1787,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1402,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1510,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1775,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1475,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1440,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1553,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1741,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1696,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1696,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,2017,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1863,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1768,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1545,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1429,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1782,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1587,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1908,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1512,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1704,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1759,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1730,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1584,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1697,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1774,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1747,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1658,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1710,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1563,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1834,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1897,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1597,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1434,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1717,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1863,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1789,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1699,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1616,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1613,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1758,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1876,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1726,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1749,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1619,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1716,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1433,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1746,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1571,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1614,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1792,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1641,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1880,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1591,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1665,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1919,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1925,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1230,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1844,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1314,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,2002,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1882,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1640,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1583,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1681,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1624,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1712,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1457,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1662,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1834,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1912,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1515,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1919,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1601,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1769,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1799,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1773,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1793,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1673,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1737,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1526,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1626,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,2058,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1967,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1529,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1410,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1838,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1692,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1798,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1532,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1805,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1918,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1596,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1582,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1692,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
snow goose,adult,bylot,2012,1896,"G. Gauthier, M.-C. Cadieux and J. Lefebvre, unpublished data"
