species,age,site,year,body_mass_g,reference
american golden plover,adult,bylot,2012,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,153,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,159,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,158,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,154,"J.-F. Lamarre and J. Bêty, unpublished data"
bairds sandpiper,adult,bylot,2016,65,"J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,163,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,161,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,157,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,152,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,150,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,159,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,150,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,170,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,166,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,161,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,154,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,169,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,153,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2013,151,"J.-F. Lamarre and J. Bêty, unpublished data"
pectoral sandpiper,adult,bylot,2013,81,"J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,188,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,180,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,169,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,168,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,169,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,187,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,182,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,180,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,178,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,179,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,180,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,168,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,164,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,170,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,168,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,184,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,161,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,179,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,166,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,175,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,173,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,185,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,158,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,176,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,172,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,168,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,173,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,178,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,170,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,178,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,171,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,179,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,167,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,165,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,170,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,179,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,168,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,168,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,190,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2014,161,"J.-F. Lamarre and J. Bêty, unpublished data"
buff breasted sandpiper,adult,bylot,2014,86,"J. Bêty, unpublished data"
buff breasted sandpiper,adult,bylot,2014,99,"J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,93,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,97,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,95,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,94,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,93,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,92,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,95,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,86,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,84,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,91,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,75,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,78,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,81,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,81,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,91,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2014,82,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
red knot,adult,bylot,2014,145,"J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,92,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,91,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,85,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,87,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,86,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,82,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,80,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,83,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,88,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,94,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,96,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,86,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,85,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,92,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,163,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,179,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,189,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,174,"J.-F. Lamarre and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,87,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,163,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,168,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,165,"J.-F. Lamarre and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,85,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,167,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,162,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,184,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,174,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,166,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,160,"J.-F. Lamarre and J. Bêty, unpublished data"
american golden plover,adult,bylot,2015,167,"J.-F. Lamarre and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,90,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2015,89,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,78,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
common ringed plover,adult,bylot,2016,85,"D.-J. Léandri-Breton and J. Bêty, unpublished data"
