nest_id,species,year,zone
PEFAED02,peregrine falcon,2019,camp 3
PEFAJB01,peregrine falcon,2016,camp 3
RLHA_AB03,rough legged hawk,2017,camp 3
RLHA_ED01,rough legged hawk,2017,camp 3
RLHA01,rough legged hawk,2007,camp 3
RLHA04,rough legged hawk,2009,camp 3
RLHA06,rough legged hawk,2007,camp 3
RLHA08,rough legged hawk,2008,camp 3
RLHA11,rough legged hawk,2008,camp 3
RLHA30,rough legged hawk,2011,camp 3
RLHA304,rough legged hawk,2014,camp 3
RLHA307,rough legged hawk,2014,camp 3
RLHA307,rough legged hawk,2015,camp 3
RLHA312,rough legged hawk,2015,camp 3
RLHAAB03,rough legged hawk,2019,camp 3
RLHAED01,rough legged hawk,2016,camp 3
RLHAJB02,rough legged hawk,2016,camp 3
RLHAMV01,rough legged hawk,2019,camp 3
PEFA-DG-01,peregrine falcon,2022,camp 3
BUPA_420,rough legged hawk,2018,dufour
BUPA404,rough legged hawk,2012,dufour
BUS02,rough legged hawk,2006,dufour
FAPE_402,peregrine falcon,2018,dufour
FAU01,peregrine falcon,2006,dufour
PEFA_AB02,peregrine falcon,2017,dufour
PEFA01,peregrine falcon,2013,dufour
PEFA02,peregrine falcon,2010,dufour
PEFA04,peregrine falcon,2008,dufour
PEFA402,peregrine falcon,2012,dufour
PEFA402,peregrine falcon,2014,dufour
PEFA402,peregrine falcon,2015,dufour
PEFAAB03,peregrine falcon,2016,dufour
PEFAED01,peregrine falcon,2019,dufour
RLHA06,rough legged hawk,2008,dufour
RLHA08,rough legged hawk,2007,dufour
RLHA08,rough legged hawk,2011,dufour
RLHA09,rough legged hawk,2007,dufour
RLHA18,rough legged hawk,2010,dufour
RLHA401,rough legged hawk,2014,dufour
RLHA401,rough legged hawk,2015,dufour
RLHA406,rough legged hawk,2014,dufour
RLHA406,rough legged hawk,2015,dufour
RLHAAB01,rough legged hawk,2018,dufour
RLHAAB09,rough legged hawk,2016,dufour
RLHAAB10,rough legged hawk,2016,dufour
RLHAED01,rough legged hawk,2019,dufour
RLHAED02,rough legged hawk,2019,dufour
RLHAED05,rough legged hawk,2019,dufour
RLHAJD01,rough legged hawk,2016,dufour
RLHASL01,rough legged hawk,2011,dufour
BUPA413,rough legged hawk,2019,goose point
FAPE_403,peregrine falcon,2018,goose point
PEFA02,peregrine falcon,2013,goose point
PEFA403,peregrine falcon,2014,goose point
PEFA404,peregrine falcon,2015,goose point
PEFAAB02,peregrine falcon,2016,goose point
PEFAJB01,peregrine falcon,2013,goose point
RLHA13,rough legged hawk,2011,goose point
RLHA19,rough legged hawk,2010,goose point
RLHA20,rough legged hawk,2010,goose point
RLHA205,rough legged hawk,2014,goose point
RLHA402,rough legged hawk,2014,goose point
RLHA402,rough legged hawk,2015,goose point
RLHA409,rough legged hawk,2014,goose point
RLHA410,rough legged hawk,2014,goose point
RLHA410,rough legged hawk,2015,goose point
RLHAAB12,rough legged hawk,2016,goose point
RLHAAB13,rough legged hawk,2016,goose point
RLHAAB14,rough legged hawk,2016,goose point
PEFA-GB-01,peregrine falcon,2022,goose point
RLHA04,rough legged hawk,2007,malaview
RLHA317,rough legged hawk,2014,malaview
RLHA318,rough legged hawk,2014,malaview
RLHAAB01,rough legged hawk,2019,malaview
RLHAAB06,rough legged hawk,2016,malaview
RLHAJB01,rough legged hawk,2016,malaview
BUPA140,rough legged hawk,2019,south plateau
BUPA141,rough legged hawk,2019,south plateau
BUPA149,rough legged hawk,2019,south plateau
BUPA156,rough legged hawk,2019,south plateau
