"year","foxid","id_merged_pair","sex","rep_status","area_argos","VAR","VAR.log","goose_category","centro_in_colony","lemming_density","lem_cat"
"2013","JRMB","JRMB","F","Non-breeder",27.7971874025533,9.65683033803617,0.0126371443956551,"outside with overlap","0",0.019,"Low"
"2014","JRMB","JRMB","F","Breeder",16.6463036442701,2.31586842757901,0.00843033747204917,"inside colony","1",6.479,"High"
"2008","JRMM","JRMM","M","Breeder",28.1862021475435,9.22981794491215,0.0117368887111951,"outside with overlap","0",2.812,"High"
"2009","JRMM","JBBV","M","Non-breeder",57.60135885851,35.5466843873804,0.0108216704447729,"outside with overlap","0",0.141,"Low"
"2010","JRMM","JRMM","M","Breeder",30.9530593752719,10.6962048696484,0.0112792903616369,"outside colony","0",3.843,"High"
"2009","JVJJ","JVJJ","F","Non-breeder",22.1314398123557,10.5184815226008,0.0216792147221379,"inside colony","1",0.141,"Low"
"2010","JVJJ","JRBM","F","Breeder",16.2322266979068,3.02549887397297,0.0116058522787103,"inside colony","1",3.843,"High"
"2015","JVMM","JVMM","M","Breeder",9.94461298863043,1.48186664494955,0.015137242512003,"outside with overlap","0",3.647,"High"
"2011","JVMR","JVMR","F","Breeder",8.6095044768812,1.78757406708498,0.0243551554400741,"inside colony","1",5.038,"High"
"2012","JVMR","JVMR","F","Breeder",12.7099146217146,2.8556251224764,0.0178458797606125,"inside colony","1",0.087,"Low"
"2010","JVRB","BMBR","F","Breeder",10.5090629570726,1.21403141917785,0.0110977748510809,"inside colony","1",3.843,"High"
"2011","JVRB","JVRB","F","Breeder",7.19293676132116,0.885380187998816,0.0172895809470953,"inside colony","1",5.038,"High"
"2012","JVRM","JVRM","M","Breeder",34.9886797970432,9.73663365301143,0.00803472415909788,"outside with overlap","0",0.087,"Low"
"2011","MBBJ","JRMB","F","Breeder",13.4142564572869,4.43848307768468,0.0249203113414675,"outside with overlap","0",5.038,"High"
"2013","MBRR","MBRR","F","Breeder",11.0448732403275,1.38188006731361,0.0114424938257571,"inside colony","1",0.019,"Low"
"2011","MBRV","JMJR","F","Breeder",26.0480473204761,14.1856265775115,0.0211351568355482,"outside colony","0",5.038,"High"
"2011","MBVV","MBVV","M","Breeder",35.7715159902091,16.3473682157972,0.0129009985768996,"outside colony","0",5.038,"High"
"2013","MJBJ","BVJM","M","Non-breeder",16.5537301523921,4.44391959934655,0.0163809871541184,"outside with overlap","0",0.019,"Low"
"2014","MJBJ","BVJM","M","Breeder",10.2437097420536,1.17932370536018,0.0113534932138807,"outside with overlap","0",6.479,"High"
"2011","MJBR","MJBR","F","Breeder",14.8547157092218,4.39404259470891,0.0201233041498035,"inside colony","1",5.038,"High"
"2012","MJBR","MJBR","F","Breeder",12.1943099020879,3.24146838434277,0.0220265126458024,"inside colony","1",0.087,"Low"
"2011","MJRR","MJRR","F","Breeder",11.2522919510564,1.78466983967955,0.0142351208093464,"outside colony","0",5.038,"High"
"2011","MJRV","MJRV","F","Breeder",19.5227831685863,4.27171308540359,0.0113208694279771,"inside colony","1",5.038,"High"
"2012","MJRV","MJRV","F","Breeder",11.3875120617804,1.0992387924877,0.00856243035814622,"inside colony","1",0.087,"Low"
"2013","MJRV","MJRV","F","Breeder",15.5051371332133,1.8654748017147,0.00783816677270884,"inside colony","1",0.019,"Low"
"2014","MJRV","MJRV","F","Breeder",17.7673577664894,2.34790890577482,0.0075120102420575,"inside colony","1",6.479,"High"
"2008","MMRV","MMRV","M","Breeder",24.8668960459556,7.17704936270218,0.0117284858119916,"inside colony","1",2.812,"High"
"2009","MMRV","BMJJ","M","Breeder",33.0508037714107,9.79393725897228,0.00906160755041014,"inside colony","1",0.141,"Low"
"2010","MMRV","BMJJ","M","Breeder",27.7907504200341,7.13897215835919,0.00933689151358754,"inside colony","1",3.843,"High"
"2011","MMRV","BMJJ","M","Breeder",14.5433281071696,2.16567810991036,0.0103421686345167,"inside colony","1",5.038,"High"
"2012","MMRV","MMRV","M","Non-breeder",13.6764138097219,1.50367878696834,0.00811877774478524,"inside colony","1",0.087,"Low"
"2010","MMVM","MMVM","M",NA,25.0089963183161,8.45826337296406,0.0136552059178556,"outside colony","0",3.843,"High"
"2011","MMVM","MMVM","M","Breeder",33.4493619264036,8.81341675266246,0.00795864601959763,"outside colony","0",5.038,"High"
"2012","MMVM","JMRM","M","Non-breeder",33.3147063853672,7.85582732300742,0.00714936279739256,"outside colony","0",0.087,"Low"
"2008","MMVV","MMVV","F","Breeder",15.3339159044947,3.89894061069811,0.0167477962757256,"outside with overlap","0",2.812,"High"
"2011","MRBB","MRBB","F","Breeder",27.4007492604787,6.13646576093297,0.00825501526520896,"outside colony","0",5.038,"High"
"2011","MRRR","JVMR","M","Breeder",11.7484374761192,1.4143816312698,0.010349752790548,"inside colony","1",5.038,"High"
"2011","MRVR","MRVR","F","Breeder",13.1511404005136,1.60128863365162,0.00935279380081548,"inside colony","1",5.038,"High"
"2012","MRVR","MRVR","F","Breeder",11.0378642754491,0.987495771703721,0.00818485833778938,"outside with overlap","0",0.087,"Low"
"2014","MVBR","MVBR","M","Breeder",13.1124244033019,1.96501623803496,0.0115412386946061,"inside colony","1",6.479,"High"
"2011","MVJJ","BJVR","M","Breeder",24.4842491742953,11.5274624120297,0.0194311032184287,"outside with overlap","0",5.038,"High"
"2012","MVJJ","MVJJ","M","Non-breeder",40.9367726644628,19.0567660189885,0.0114904044884471,"outside colony","0",0.087,"Low"
"2014","OJBJ","OJBJ","M","Non-breeder",5.71341165921454,0.410080114040415,0.0126865223356897,"inside colony","1",6.479,"High"
"2014","OJVJ","BROR","F","Breeder",29.1360109937483,10.1493510166021,0.0120785257405156,"outside colony","0",6.479,"High"
"2015","OJVJ","OJVJ","F","Breeder",29.0430805289036,10.2456334065686,0.0122774295158678,"outside colony","0",3.647,"High"
"2014","OOOB","OOOB","M","Breeder",42.7843346978017,19.3010169788738,0.0106491369550764,"outside with overlap","0",6.479,"High"
"2015","OOOB","OOOB","M","Breeder",26.6886316909976,5.80355730038428,0.00823152221125343,"outside with overlap","0",3.647,"High"
"2013","OOOO","OOOO","M","Non-breeder",28.3026377044506,6.15273586106506,0.00775882791489741,"outside with overlap","0",0.019,"Low"
"2013","OORR","BRJM","F",NA,12.7301180806426,1.6330796854155,0.0101800117974573,"inside colony","1",0.019,"Low"
"2014","OORR","BRJM","F","Breeder",17.3867029058951,2.75451033925748,0.00920348802120798,"inside colony","1",6.479,"High"
"2016","OORR","OORR","F","Breeder",26.562355831029,6.91514870699277,0.00990087912417765,"inside colony","1",2.533,"High"
"2016","OOVB","OOVB","M",NA,49.9276320017309,35.6486058023072,0.0144413466608493,"outside colony","0",2.533,"High"
"2013","OROB","OROB","F","Non-breeder",33.7037646052139,13.5936280489289,0.0120904187743358,"outside colony","0",0.019,"Low"
"2016","OVBR","OVBR","M","Non-breeder",11.040458706294,2.36055736041986,0.0195697770128386,"outside colony","0",2.533,"High"
"2015","OVOJ","OVOJ","F",NA,22.0039262553096,4.70443138681887,0.00981164480402673,"outside with overlap","0",3.647,"High"
